POSTCODES,Major Cities of Australia ,Inner Regional Australia ,Outer Regional Australia ,Remote Australia ,Very Remote Australia ,Migratory - Offshore - Shipping ,Total
6121,985,0,0,0,0,0,985
6122,6184,76,0,0,0,0,6265
6123,498,85,0,0,0,0,582
6124,0,490,0,0,0,0,490
6125,43,1157,0,0,0,0,1198
6126,0,127,0,0,0,0,127
6147,6179,0,0,0,0,0,6179
6148,7213,0,0,0,0,0,7213
6149,7121,0,0,0,0,0,7121
6150,4690,0,0,0,0,0,4690
6151,8511,0,0,0,0,0,8511
6152,11721,0,0,0,0,0,11721
6153,8764,0,0,0,0,0,8764
6154,4268,0,0,0,0,0,4268
6155,17134,0,0,0,0,0,17134
6156,7171,0,0,0,0,0,7171
6157,6545,0,0,0,0,0,6545
6158,3281,0,0,0,0,0,3281
6159,1784,0,0,0,0,0,1784
6160,4608,0,0,0,0,0,4608
6161,0,0,0,343,0,0,343
6162,5379,0,0,0,0,0,5379
6163,22806,0,0,0,0,0,22806
6164,21568,0,0,0,0,0,21568
6165,26,0,0,0,0,0,26
6166,3862,0,0,0,0,0,3862
6167,10611,0,0,0,0,0,10611
6168,11737,14,0,0,0,0,11755
6169,15171,0,0,0,0,0,15171
6170,4669,0,0,0,0,0,4669
6171,11404,144,0,0,0,0,11552
6172,4891,0,0,0,0,0,4891
6173,4029,0,0,0,0,0,4029
6174,1593,0,0,0,0,0,1593
6175,1427,0,0,0,0,0,1427
6176,517,0,0,0,0,0,517
6180,2064,0,0,0,0,0,2064
6181,153,0,0,0,0,0,153
6182,0,0,0,0,0,0,0
6207,0,418,0,0,0,0,418
6208,5001,666,0,0,0,0,5670
6209,904,25,0,0,0,0,931
6210,35104,0,0,0,0,0,35104
6211,3417,203,0,0,0,0,3620
6213,0,395,0,0,0,0,395
6214,0,252,0,0,0,0,252
6215,0,2058,0,0,0,0,2058
6218,0,195,0,0,0,0,195
6220,0,2165,0,0,0,0,2165
6221,0,128,0,0,0,0,128
6223,0,97,0,0,0,0,97
6224,0,513,0,0,0,0,513
6225,0,4138,70,0,0,0,4210
6226,0,289,0,0,0,0,289
6227,0,307,0,0,0,0,307
6228,0,74,0,0,0,0,74
6229,0,102,0,0,0,0,102
6230,0,19533,0,0,0,0,19533
6232,0,4397,0,0,0,0,4397
6233,0,7589,0,0,0,0,7589
6236,0,843,0,0,0,0,843
6237,0,984,0,0,0,0,984
6239,0,1928,0,0,0,0,1928
6240,0,61,0,0,0,0,61
6243,0,0,33,0,0,0,34
6244,0,0,781,0,0,0,781
6251,0,197,0,0,0,0,197
6252,0,81,0,0,0,0,81
6253,0,415,0,0,0,0,415
6254,0,0,268,0,0,0,268
6255,0,1219,811,0,0,0,2028
6256,0,0,185,0,0,0,185
6258,0,0,3166,0,0,0,3166
6260,0,0,794,0,0,0,794
6262,0,0,643,0,0,0,643
6271,0,1524,0,0,0,0,1524
6275,0,28,802,0,0,0,826
6280,0,13217,0,0,0,0,13217
6281,0,4519,0,0,0,0,4519
6282,0,1028,0,0,0,0,1028
6284,0,1087,0,0,0,0,1087
6285,0,4533,0,0,0,0,4533
6286,0,380,0,0,0,0,380
6288,0,195,119,0,0,0,308
6290,0,1245,248,0,0,0,1497
6302,0,1928,10,0,0,0,1936
6304,0,0,918,0,0,0,918
6306,0,0,514,27,0,0,539
6308,0,0,836,0,0,0,836
6309,0,0,139,0,0,0,139
6311,0,0,271,0,0,0,271
6312,0,0,2175,13,0,0,2180
6313,0,0,136,0,0,0,136
6315,0,0,1006,16,0,0,1026
6316,0,0,179,0,0,0,179
6317,0,0,1835,20,0,0,1853
6318,0,0,236,0,0,0,236
6320,0,0,264,0,0,0,264
6321,0,0,245,0,0,0,245
6322,0,0,128,0,0,0,128
6323,0,0,527,0,0,0,527
6324,0,0,1663,0,0,0,1663
6326,0,0,223,0,0,0,223
6327,0,0,122,0,0,0,122
6328,0,0,144,108,0,0,250
6330,0,0,16547,0,0,0,16547
6333,0,0,3376,0,0,0,3376
6335,0,0,0,376,0,0,376
6336,0,0,0,210,0,0,210
6337,0,0,0,290,0,0,291
6338,0,0,0,599,0,0,599
6341,0,0,0,165,0,0,165
6343,0,0,0,128,0,0,128
