Postcode,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not_stated_income,Not_applicable_income,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated_rent,Not applicable_rent
5150,0,3,0,4,7,3,4,5,0,3,0,0,0,0,3,9,8,46,8,10,22,9,11,11,18,13,12,14,13,6,9,10,4,0,6,0,0,0,0,0,11,3144
5151,0,24,18,20,17,9,20,18,25,34,20,18,14,27,18,19,71,78,10,13,32,21,32,22,58,21,49,37,59,36,34,13,8,6,17,5,0,0,0,4,30,5678
5152,18,425,249,246,278,305,390,318,333,357,309,324,293,404,372,262,1248,35,28,42,167,159,191,144,231,195,277,176,129,44,35,19,22,3,8,3,0,0,0,3,47,4214
5153,13,445,291,341,413,367,394,357,393,506,340,296,208,293,241,370,1157,26,29,17,163,96,132,122,262,296,419,182,181,77,78,24,13,6,9,3,0,0,0,6,74,5128
5154,13,227,162,172,146,160,181,144,184,229,180,176,131,215,191,162,684,16,0,0,9,5,5,14,9,14,19,19,19,9,14,10,15,8,4,0,3,0,0,0,3,1226
5155,7,245,138,172,201,211,191,239,275,306,230,201,149,215,85,148,807,10,0,0,5,3,4,0,4,4,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,377
5156,4,74,47,48,49,52,47,45,59,63,59,63,38,65,22,30,182,9,3,3,4,4,3,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,318
5157,8,188,111,169,186,169,196,214,199,247,148,133,91,114,90,179,482,14,3,4,32,10,17,13,50,26,35,22,14,3,3,0,3,0,0,0,0,0,0,0,3,1336
5158,67,1665,1043,1333,1486,1572,1653,1668,1970,2240,1474,1217,719,842,211,861,4712,19,0,0,5,0,12,3,9,3,4,3,3,4,0,0,0,0,0,0,0,0,0,0,5,924
5159,129,2293,1420,1949,2212,2218,2179,2161,2679,2762,1802,1524,983,1208,399,1184,5832,13,0,7,12,9,10,6,19,13,14,0,8,0,0,0,0,0,0,0,0,0,0,0,6,820
5160,0,0,0,5,8,3,0,0,0,0,0,3,0,0,0,0,4,13,0,7,6,3,6,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543
5161,26,614,381,688,882,851,848,782,867,834,528,330,166,141,36,393,1780,24,9,0,15,7,16,9,27,9,18,9,3,0,0,0,0,0,0,4,0,0,0,0,6,1002
5162,89,2097,1203,2336,3206,2903,2633,2565,2863,2577,1476,1018,554,515,122,1906,6224,0,4,0,0,0,4,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176
5163,43,789,521,1225,1453,1282,1151,1042,1032,966,502,310,178,176,64,801,2580,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
5164,17,297,166,483,655,643,385,333,325,244,105,69,27,32,26,506,974,49,14,16,86,59,105,95,134,71,95,41,43,14,3,10,11,0,17,0,3,3,0,9,69,3316
5165,26,283,143,389,478,525,471,384,373,329,168,125,80,70,38,577,921,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,51
5166,7,93,49,141,228,199,161,147,162,124,62,39,16,14,10,130,302,26,3,0,3,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,359
5167,28,337,193,385,490,460,406,376,401,419,273,205,131,138,34,464,955,27,11,13,72,63,130,77,96,49,47,15,5,5,4,0,0,0,0,0,0,0,3,0,33,2297
5168,28,301,198,411,517,473,382,380,441,389,211,143,94,93,24,333,1075,13,0,0,0,5,18,11,14,6,8,4,4,0,0,0,0,0,5,0,0,3,0,6,10,825
5169,67,943,649,1018,1401,1259,1227,1111,1345,1328,779,546,353,339,101,936,3686,5,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274
5170,3,69,37,87,78,108,84,93,90,94,54,34,18,31,7,71,189,7,4,0,7,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230
5171,15,337,258,391,447,460,423,383,393,450,291,244,154,191,89,395,1004,7,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
5172,16,242,151,216,275,270,282,272,299,266,211,160,118,139,70,238,712,8,0,0,5,3,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,245
5173,44,653,440,854,1013,987,880,918,875,855,453,363,215,202,100,975,2941,11,4,3,9,10,15,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425
5174,11,176,99,222,250,231,217,211,204,206,115,94,42,58,13,205,565,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
5201,11,122,69,112,106,137,133,143,134,155,102,74,51,90,27,139,354,9,7,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284
5202,7,54,30,61,55,70,63,68,64,64,40,35,14,25,6,57,169,25,6,14,36,20,47,36,8,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,14,1158
5203,10,57,59,79,136,151,104,98,75,69,40,26,9,23,17,127,189,8,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,196
5204,10,106,97,243,401,343,274,208,177,169,86,55,31,43,29,210,335,10,5,4,12,6,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338
5210,9,132,58,112,110,109,139,106,155,100,73,58,33,39,13,111,360,42,22,70,128,58,174,270,219,123,174,102,108,57,75,33,15,9,13,0,0,0,0,8,87,5242
5211,56,671,533,1152,2071,1892,1517,1194,944,828,376,274,220,232,130,1171,2010,40,4,4,19,7,8,5,17,0,6,9,10,0,4,0,0,0,0,0,0,0,0,0,3,1707
5212,8,70,55,170,291,236,228,159,126,104,56,48,35,29,16,224,257,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
5213,9,63,48,74,96,97,112,95,90,59,44,50,25,40,17,54,189,12,7,4,19,4,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,443
5214,19,322,244,707,1220,1054,821,634,525,399,215,140,102,116,57,795,1009,8,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
5220,0,3,3,5,10,12,16,23,15,7,4,4,0,0,5,17,31,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100
5221,0,12,11,24,32,31,19,16,16,16,13,0,0,0,0,42,48,4,4,6,16,29,30,14,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,806
5222,5,17,29,53,73,59,61,51,37,32,18,16,16,7,0,74,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
5223,29,143,125,240,326,339,319,287,301,232,119,86,53,56,33,335,621,31,12,15,21,34,38,25,27,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1203
5231,3,95,50,74,90,80,73,66,90,90,62,57,42,58,27,68,196,13,5,4,23,3,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,377
5232,4,23,19,25,30,15,25,38,36,29,27,24,16,23,8,23,64,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145
5233,3,107,55,99,130,98,112,99,104,105,60,57,46,59,27,96,228,4,8,0,3,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270
5234,4,92,57,66,89,75,99,75,110,73,62,60,35,43,19,79,259,20,3,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,412
5235,20,153,91,141,225,208,191,152,193,183,115,66,47,63,35,183,418,16,0,0,0,0,6,6,5,8,30,26,40,18,12,5,5,0,10,0,0,0,0,0,3,961
5236,3,24,12,17,28,24,25,17,16,20,13,11,0,8,4,39,40,4,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,228
5237,0,17,12,29,30,33,32,23,32,15,13,12,4,0,0,32,79,59,10,10,55,27,45,53,82,75,187,268,580,355,368,167,94,21,86,24,9,4,0,15,69,11326
5238,14,193,143,359,538,522,325,286,250,216,120,73,38,59,23,362,564,4,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,3,0,0,0,0,0,103
5240,3,34,22,36,38,23,31,34,31,45,27,15,11,25,5,12,80,14,4,0,0,0,0,0,0,0,4,13,20,7,20,8,6,0,4,3,3,0,0,0,4,1328
5241,5,139,90,137,207,190,202,222,180,184,111,84,67,61,26,134,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
5242,5,106,74,92,109,94,113,109,124,106,88,69,54,72,52,85,272,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
5243,0,48,32,38,54,47,60,63,62,69,31,32,27,45,42,57,123,19,3,12,7,3,7,0,10,7,19,21,33,28,29,10,4,3,7,3,3,0,0,0,11,1699
5244,23,277,167,226,338,276,266,291,283,318,227,177,127,123,60,318,761,10,0,6,7,3,4,0,13,9,10,9,25,11,9,3,7,0,0,4,0,0,0,0,9,1084
5245,12,156,120,138,189,301,242,177,196,165,163,135,100,125,89,267,502,23,14,6,15,6,13,3,18,13,20,28,62,33,68,39,40,16,68,18,6,0,0,0,12,3395
5250,15,210,148,170,182,213,238,187,230,302,159,182,125,162,72,141,794,3,0,0,0,0,0,0,6,3,7,6,4,7,5,3,9,4,20,6,0,0,0,5,3,753
5251,43,862,573,846,1036,1099,1000,1001,1119,1065,670,538,376,431,226,793,2968,7,0,3,3,0,0,7,6,3,6,0,3,6,6,5,7,0,4,4,0,0,0,0,0,725
5252,18,376,236,340,424,357,419,488,463,546,361,281,172,182,55,336,1461,5,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,5,7,6,0,0,0,0,4,575
5253,88,966,557,1370,2001,1702,1473,1626,1464,1101,514,336,230,188,87,1591,3194,22,5,3,14,8,14,7,26,12,25,30,38,26,39,31,14,13,34,3,0,0,0,0,14,2729
5254,17,147,104,192,174,155,182,212,189,152,101,75,41,32,19,182,421,39,8,19,32,18,34,16,52,23,61,24,85,49,62,36,51,6,24,8,0,0,0,5,44,3610
5255,28,572,341,574,763,795,686,623,678,639,400,289,160,247,83,655,1714,0,0,0,0,0,0,0,0,0,8,3,3,6,4,4,4,0,0,0,0,0,0,0,0,446
5256,4,73,46,111,191,178,114,75,90,81,41,16,23,12,8,109,180,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224
5259,13,52,41,84,112,105,64,90,87,64,28,21,13,21,11,119,188,5,0,0,0,0,0,0,3,0,4,3,7,0,0,0,0,0,3,0,0,0,0,0,0,416
5260,8,77,60,148,262,183,176,131,114,88,40,20,22,8,18,119,280,28,14,6,62,24,38,33,58,48,79,87,116,33,43,17,11,6,9,3,0,0,0,3,28,2840
5261,11,19,15,34,25,21,22,32,22,27,17,5,3,5,4,21,75,12,0,3,14,10,23,16,35,13,24,23,37,16,17,8,4,3,8,0,0,0,0,4,4,2136
5262,5,16,13,21,23,28,31,27,45,35,10,18,10,3,8,30,89,5,0,0,7,0,4,0,9,6,8,5,5,5,4,0,6,0,0,0,0,0,0,0,4,658
5263,0,6,0,9,0,7,13,5,18,13,3,9,9,4,4,10,22,14,4,0,0,0,4,0,10,3,9,6,16,5,7,0,4,3,3,0,0,0,0,0,0,1112
5264,7,45,29,84,141,173,111,108,83,60,37,32,14,15,15,110,202,17,3,6,24,8,9,11,24,11,30,25,45,33,32,9,7,0,6,0,0,0,0,12,18,1564
5265,3,21,15,31,45,43,31,27,32,24,10,5,4,3,3,36,92,38,3,3,11,4,12,5,13,12,23,18,33,9,14,5,4,0,7,0,0,0,0,3,10,2390
5266,0,29,18,21,36,58,58,44,61,53,25,12,7,12,7,40,141,10,3,0,7,0,3,3,3,9,11,3,6,0,0,0,0,0,0,0,0,0,0,0,0,566
5267,29,74,53,107,129,147,141,157,179,165,65,55,34,28,19,157,415,15,3,0,18,4,7,8,17,11,21,12,10,0,0,0,0,0,0,0,0,0,0,0,8,1267
5268,32,141,121,188,277,239,279,408,312,227,123,93,40,51,42,350,621,12,7,7,7,0,10,0,8,3,7,4,0,4,0,0,0,0,0,0,0,0,0,0,5,436
5269,5,18,9,25,21,19,32,27,12,15,4,4,3,0,0,22,48,36,35,16,89,56,111,137,173,135,121,36,18,0,6,0,0,0,0,3,0,0,0,6,36,3832
5270,3,26,21,29,40,44,48,62,60,48,28,16,15,12,0,36,114,4,7,8,11,11,14,12,20,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,529
5271,42,356,224,438,534,557,621,673,650,589,325,201,108,122,101,455,1441,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146
5272,6,53,24,45,54,50,53,61,61,70,52,21,12,27,15,46,146,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
5273,0,6,0,3,3,9,8,13,3,9,6,9,0,0,3,9,27,6,4,5,24,5,13,13,18,9,5,0,7,0,0,0,0,0,4,0,0,0,0,0,3,796
5275,17,105,87,175,236,220,205,177,191,137,85,66,51,62,40,190,375,8,5,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220
5276,13,36,25,77,109,102,109,83,96,107,50,31,25,32,12,104,160,15,0,0,0,0,3,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,427
5277,21,137,99,208,262,220,203,220,248,212,134,78,54,41,37,186,570,17,8,13,38,33,34,51,24,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1152
5278,3,38,17,40,44,45,37,38,29,32,19,11,8,13,4,33,99,7,14,11,17,8,21,27,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,758
5279,0,23,13,57,62,32,34,56,28,39,12,16,4,9,3,46,101,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
5280,32,392,258,581,733,688,538,475,495,382,237,214,162,198,89,639,1263,10,13,4,10,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,384
5290,100,1152,881,1721,2294,2234,1822,1926,1953,1811,1033,722,438,497,202,1712,5019,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,180
5291,56,410,330,436,614,561,609,603,671,666,396,327,221,271,154,1049,1810,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
5301,9,39,19,45,60,33,48,46,39,31,16,12,7,13,4,46,117,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
5302,3,30,18,58,73,80,77,68,42,70,37,26,20,16,11,81,145,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
5303,4,12,8,5,17,18,10,23,18,16,6,8,6,0,3,15,44,10,15,12,20,5,12,13,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,626
5304,3,28,19,49,76,72,65,52,63,48,40,36,13,17,7,59,127,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
5306,4,6,9,9,5,8,11,4,3,6,0,3,0,0,0,0,14,24,16,10,19,0,14,0,7,4,4,0,0,0,0,0,0,0,3,0,3,0,0,0,5,247
5307,0,32,14,56,77,84,36,31,39,23,5,5,6,7,5,40,96,57,20,40,33,23,63,63,72,35,49,12,41,3,10,0,0,0,0,0,0,0,0,0,28,2197
5308,0,10,5,12,6,9,20,16,14,4,5,0,0,3,0,3,30,25,7,9,18,16,46,32,47,22,35,18,23,0,4,3,3,0,6,0,0,0,0,0,9,1788
5309,0,15,0,18,16,14,12,12,9,10,0,0,0,0,0,16,24,91,69,59,317,176,422,517,564,426,528,350,413,184,165,50,51,8,38,15,16,8,8,10,188,10413
5310,0,6,0,5,9,3,7,3,6,5,5,0,0,5,0,6,9,8,6,0,7,12,9,9,9,3,0,7,7,0,0,4,0,0,0,3,0,0,0,0,8,627
5311,5,22,20,36,35,31,42,38,27,31,16,5,4,0,11,23,74,27,0,11,23,23,48,31,51,25,18,7,9,4,3,0,4,3,0,0,0,0,0,0,14,1625
5320,0,35,24,81,98,87,52,40,31,37,19,13,7,5,3,36,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
5321,0,14,12,32,40,39,38,28,27,21,9,12,5,3,6,237,31,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
5322,5,51,44,64,88,89,72,95,83,68,37,25,8,10,4,89,148,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
5330,17,163,132,235,343,323,264,265,240,191,116,66,57,54,20,283,593,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190
5331,0,11,13,27,31,28,31,21,22,21,12,4,6,0,0,28,60,8,0,0,0,0,3,5,7,0,3,3,11,11,15,6,3,0,0,0,0,0,0,0,5,645
5332,4,13,7,29,41,39,24,36,27,32,9,11,4,6,3,34,80,3,3,0,3,0,12,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303
5333,17,237,204,356,570,557,489,461,435,420,230,153,96,89,55,405,1042,22,0,9,3,3,14,15,12,7,3,6,0,0,0,0,0,0,0,0,0,0,0,0,10,639
5340,3,51,42,87,113,105,120,148,137,104,60,32,29,15,22,121,249,5,3,15,3,4,6,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,771
5341,31,407,238,604,803,654,581,617,564,458,230,168,103,110,94,694,1311,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
5342,4,66,39,84,86,79,103,84,111,81,56,37,15,24,5,60,190,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,262
5343,22,200,137,343,519,487,357,348,368,291,171,113,77,80,53,384,891,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,152
5344,4,50,40,67,89,73,74,69,79,70,38,24,8,13,3,84,190,21,3,11,16,9,20,17,20,14,38,13,22,0,5,0,0,0,5,0,0,0,0,0,17,1925
5345,14,152,118,283,477,329,293,273,238,209,112,82,46,61,27,267,605,18,6,3,14,7,13,13,13,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,600
5346,0,20,10,24,34,40,34,22,33,23,16,9,5,7,0,30,73,8,11,3,15,6,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,388
5350,0,29,27,25,24,23,32,24,29,27,28,20,17,18,4,33,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
5351,14,386,232,349,390,377,373,396,417,422,293,231,162,214,60,364,1180,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
5352,7,246,209,245,368,471,356,361,422,399,247,211,158,185,118,349,872,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
5353,13,205,135,231,310,349,266,248,300,295,170,111,68,115,68,227,667,7,0,0,16,9,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367
5354,4,26,7,32,67,45,24,37,21,22,6,5,5,3,6,28,31,14,3,3,12,11,10,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438
5355,25,379,252,437,643,612,609,554,610,600,401,276,146,199,56,345,1455,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141
5356,7,53,29,62,71,53,66,53,74,54,37,20,15,12,3,61,138,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
5357,0,28,13,28,57,49,24,37,26,26,11,4,5,7,5,46,63,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
5360,5,62,46,68,62,63,73,66,81,101,60,58,28,37,12,58,245,8,3,0,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174
5371,4,95,46,78,66,68,75,84,110,112,71,56,30,38,14,47,275,39,22,14,40,33,59,46,56,24,33,9,19,0,3,3,0,0,0,3,0,0,0,0,21,1088
5372,8,121,81,124,182,119,138,172,157,184,94,84,47,48,10,120,518,106,61,49,328,189,330,408,653,642,1047,625,675,214,269,72,113,31,82,18,12,7,6,10,152,13348
5373,14,198,106,227,339,319,274,238,284,234,149,103,56,75,18,171,621,66,9,5,33,23,30,25,59,38,98,91,239,143,166,65,67,18,30,0,0,0,0,5,31,9693
5374,10,76,70,126,189,139,101,91,93,89,55,47,26,13,6,97,253,46,24,21,163,83,138,113,247,198,442,262,296,111,88,26,27,0,4,7,0,0,0,4,78,6677
5381,5,23,13,27,51,40,26,28,23,20,10,0,0,0,4,36,60,41,18,26,104,44,137,103,168,139,221,111,262,79,35,12,7,0,0,3,0,0,0,0,50,4328
5400,5,53,55,84,53,42,53,65,72,63,35,28,22,18,14,41,175,6,0,0,5,3,4,0,6,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,4,297
5401,0,53,27,58,57,66,55,49,68,66,29,20,23,7,6,102,169,13,0,0,6,3,11,6,10,4,5,3,0,4,0,0,0,0,0,0,0,0,0,0,5,423
5410,0,18,9,34,35,22,27,22,14,15,12,15,11,3,0,28,48,11,6,0,0,5,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253
5411,0,25,10,20,26,24,17,23,17,15,15,13,3,0,8,23,80,44,5,16,29,27,47,33,35,24,31,14,11,5,5,0,4,0,0,0,0,0,0,0,18,1670
5412,3,78,35,62,135,144,106,67,80,74,59,26,21,27,15,80,178,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
5413,0,44,22,73,90,85,67,61,56,49,35,21,12,5,9,63,138,13,0,0,3,5,9,8,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,298
5414,0,11,10,7,12,20,7,19,9,6,5,5,0,0,0,14,21,48,33,17,155,56,94,61,200,138,223,152,136,70,83,36,33,12,31,3,5,0,4,3,55,5517
5415,0,6,11,12,27,22,26,18,14,18,6,11,5,4,3,6,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
5416,0,18,8,10,25,17,20,16,16,4,7,12,0,6,0,24,49,7,3,0,11,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,256
5417,7,83,47,102,161,144,126,95,96,77,47,41,28,17,9,133,264,19,3,4,3,14,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,256
5418,0,8,0,13,10,17,12,14,10,0,5,0,0,0,5,5,18,34,13,7,26,26,53,35,23,11,10,0,5,0,0,0,0,0,0,0,0,0,0,3,8,1207
5419,0,10,13,26,28,15,19,7,15,14,9,7,3,4,9,15,33,5,0,0,5,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298
5420,0,0,6,4,9,0,5,6,4,6,8,0,0,0,4,11,11,4,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127
5421,0,6,4,19,21,14,9,11,5,3,0,0,0,0,0,21,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
5422,4,91,40,183,251,233,121,103,90,57,30,28,14,18,11,164,252,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
5431,3,34,31,61,112,91,60,58,62,63,43,22,22,19,9,76,152,14,0,16,7,13,15,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,367
5432,0,5,7,4,14,11,12,9,10,16,7,5,4,7,4,6,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
5433,7,60,52,95,137,128,85,79,83,68,43,48,30,36,24,113,184,45,13,21,45,50,96,56,57,14,24,4,8,0,0,0,0,0,3,0,0,0,0,0,25,2208
5434,3,11,9,40,29,27,30,30,25,34,24,16,4,3,5,80,77,9,6,3,9,5,15,8,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,439
5440,0,15,0,14,17,19,12,20,11,17,11,14,13,14,14,28,38,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
5451,3,27,37,43,49,59,58,49,49,59,30,22,19,15,3,78,92,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
5452,5,22,11,19,43,32,41,41,37,32,16,22,11,12,3,19,98,10,9,4,0,0,15,12,17,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,419
5453,13,192,146,278,377,408,414,395,372,354,205,180,115,152,81,308,950,47,36,27,119,113,135,145,211,141,144,53,53,20,33,13,16,3,4,0,0,0,0,5,55,3673
5454,7,21,12,33,39,26,22,31,27,32,24,9,3,0,3,32,77,9,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,269
5455,0,9,3,0,0,5,3,5,3,5,0,0,0,0,0,5,18,0,0,0,0,0,0,0,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
5460,0,78,20,55,55,56,58,67,40,40,23,30,10,14,11,51,140,3,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
5461,21,111,83,168,237,278,200,189,180,176,79,70,43,51,25,183,461,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
5462,0,30,10,26,50,43,50,37,38,37,16,16,3,9,7,11,128,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
5464,6,36,18,33,55,47,43,36,52,50,26,21,10,9,12,39,135,4,0,6,7,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237
5470,0,11,5,10,12,14,8,6,14,3,3,0,4,4,5,11,13,6,0,6,0,0,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260
5471,0,11,4,9,14,4,11,6,3,0,7,0,0,0,3,3,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
5472,3,7,3,10,29,16,18,3,8,5,0,7,0,0,0,16,25,13,0,3,0,4,4,3,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,3,161
5473,9,33,21,67,108,78,54,47,45,30,30,10,11,19,0,59,137,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
5480,10,27,43,61,85,68,59,61,52,57,27,24,16,15,3,40,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
