Postcode,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Count salary and wages,Average salary and wages,Median salary and wages,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Count total business income,Average total business income,Median total business income,Count  total business expenses,Average total business expenses,Median total business expenses,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2193,9039,60292,47071,7355,61835,52263,1716,1981,382,9039,62745,49220,9039,2391,762,1014,67653,29860,958,44945,12514,7014,18305,11574,10569,99060,37693
2194,13119,41593,35610,10438,45169,40777,1844,27,-632,13119,43145,36829,13119,1513,390,1645,76561,32885,1508,61106,13475,9265,10362,7009,15514,40997,12848
2195,12138,37981,31506,9474,42394,38872,1061,160,-676,12138,39704,33010,12138,1717,490,2240,63733,34528,2155,49941,19130,8161,9054,6251,14958,34203,9835
2196,15030,44662,37152,11763,48125,42771,2326,948,-166,15030,46708,39094,15030,2027,620,2095,79036,38620,2028,60073,20610,10836,11475,7682,17647,57900,19375
2197,4029,47122,38899,3183,50688,45031,580,714,-185,4029,49352,41084,4029,2186,642,524,82585,44594,513,62721,23980,2958,12488,8072,4699,72305,25314
2198,4425,51043,41085,3387,54642,47609,818,697,-138,4425,53498,43691,4425,2363,705,452,98405,43210,424,76796,23535,3239,14566,9566,5113,104746,43141
2199,7981,45533,38548,6312,49292,44036,1271,-309,-729,7981,47719,40316,7981,2126,635,959,83020,37651,926,64294,18064,5829,11714,7959,9268,62212,21381
2200,20077,44334,36889,15872,47521,42640,2959,512,-539,20077,46443,38607,20077,2062,575,2589,77340,39249,2476,58110,20686,14342,11459,7762,23588,51965,16158
2203,8392,65531,52889,7226,67428,57192,1284,1115,-215,8392,68154,55326,8392,2579,965,951,78056,23397,895,56638,10322,6870,19158,13222,10339,102880,43761
2204,15645,62058,50309,13457,62920,54233,2410,2223,88,15645,64498,52583,15645,2393,830,1862,57389,23528,1753,36813,9938,12698,17847,11973,20035,82655,30917
2205,11853,51491,42538,10009,54636,48141,1768,-1770,-2170,11853,53645,44752,11853,2097,633,1324,53137,25962,1198,37736,12034,8848,14523,9917,13168,60436,19072
2206,11087,63300,48313,8537,63419,53655,2796,3763,1377,11087,66157,50452,11087,2757,816,1216,117670,35880,1149,91970,15811,8645,19645,12171,12475,114940,50079
2207,15419,54461,43671,12094,57930,50131,3178,1522,384,15419,56887,45719,15419,2375,771,1678,91605,33230,1601,72428,16280,11675,15592,10274,17603,97342,39148
2208,7166,56396,43746,5468,58041,50000,1608,2281,986,7166,58682,45736,7166,2268,652,680,111624,40044,648,90601,19552,5348,17207,10616,8097,100039,40336
2209,9022,50630,40531,7059,54135,47115,1938,158,-396,9022,52729,42290,9022,2062,590,845,101701,30126,801,80624,13301,6489,14875,9871,10297,87127,31885
2210,16670,54497,42204,12923,57595,48693,3177,-168,-1080,16670,56842,44234,16670,2290,660,1533,83981,33667,1458,62509,14427,12238,16501,10336,18981,116196,40761
2211,9771,53122,44817,7845,57538,50980,1894,-321,-499,9771,55441,46771,9771,2222,770,836,83203,31278,801,63013,14680,7375,14937,10549,11031,103148,43901
2212,8647,52900,45243,7192,56194,50502,1479,-1451,-1492,8647,55119,47465,8647,2208,777,715,79725,31930,694,63335,16024,6607,14501,10406,9858,90064,38673
2213,12275,58295,47952,10138,60984,53175,2255,-1248,-1341,12275,60783,50096,12275,2446,871,965,93190,33540,926,72715,15495,9561,16866,11704,14139,118146,53964
2214,2343,55749,47783,1913,58396,52467,358,-779,-1352,2343,58274,49792,2343,2511,904,143,106770,38467,139,74868,17724,1819,15622,11492,2764,128282,66690
2216,17316,50935,42128,14277,53446,46925,2839,1127,-243,17316,53248,44085,17316,2258,698,1733,77078,27462,1611,58617,13887,13019,14075,9140,20521,67000,21114
2217,16783,55129,44507,13583,57103,49666,3108,1278,-459,16783,57645,46711,16783,2373,735,1581,80204,30150,1471,59343,15174,12771,15941,10211,18858,88980,29058
2218,9907,50107,41582,8119,53929,47383,1794,-1075,-1042,9907,52191,43469,9907,2041,640,1018,72225,26994,949,54667,12746,7306,13980,9428,11345,77344,27067
2219,7898,65010,48202,5901,64987,54342,1848,2260,378,7898,68327,50848,7898,3181,934,749,106601,36458,722,76538,16632,6072,20919,12187,8796,151099,54941
2220,18954,46075,36642,14813,49463,42321,3931,-983,-1400,18954,47971,38006,18954,1833,410,1800,4042358,29948,1630,4439612,13667,13145,13376,8106,21589,68947,16336
2221,10254,70221,46452,7497,64487,50477,2808,2721,898,10254,73692,49102,10254,3361,662,935,177595,41292,903,131036,18559,7797,24581,12384,10951,176013,50319
2222,7739,53660,42330,6322,55680,47420,1370,3,-733,7739,55805,44287,7739,2035,653,667,73129,30060,632,53160,11208,5795,15635,9503,8656,98883,31904
2223,13223,67915,49823,10405,68391,55482,2897,804,-381,13223,70693,52116,13223,2703,798,1038,92879,34090,1013,58550,12424,10210,22384,13006,14680,166166,56991
2224,8633,71112,45563,6153,65276,51604,1978,3578,864,8633,74460,48213,8633,3202,715,707,117938,35976,682,88400,18081,6488,24754,12025,9458,208582,61138
2225,3475,79848,53403,2768,77105,59870,711,-1373,-736,3475,83078,56367,3475,3201,990,288,209515,28713,274,186128,11284,2740,28310,15425,3851,178602,78408
2226,7552,69158,52418,6111,71054,58829,1413,-1153,-948,7552,72102,55000,7552,2878,1020,582,100906,25772,554,77238,11144,5955,22177,14157,8514,156315,73759
2227,8975,67047,50920,7233,69697,56586,1531,-1361,-1082,8975,70078,53604,8975,2948,1011,769,77791,33747,750,52958,14220,7003,21374,13523,10113,156386,70796
2228,11103,66028,48232,8683,65796,53635,1837,148,-242,11103,69022,50838,11103,2862,917,1002,97325,32502,954,72881,14904,8581,21516,12324,12377,136635,54423
2229,18050,72982,50184,13800,70269,55398,3434,877,-506,18050,76376,53272,18050,3289,1004,1523,135242,34606,1495,102201,14988,13970,25193,13613,19904,174839,65223
2230,19686,79351,53564,15289,71118,56895,3894,1574,-338,19686,83346,56883,19686,3799,1144,1828,109294,33453,1755,81920,14146,15684,27756,14143,22142,197367,60184
2231,1345,61984,49371,1118,61695,54177,239,-1041,-886,1345,65020,52686,1345,3002,1280,137,76642,35156,132,56595,15420,1086,17644,12006,1647,109810,49642
2232,20079,62451,50378,16375,65769,56875,3193,-844,-985,20079,65199,52933,20079,2689,978,1654,92693,30394,1574,69099,13881,15662,18880,12987,22885,135997,61881
2233,18012,60136,49936,14939,63874,55540,2668,-1673,-1236,18012,62761,52176,18012,2595,1073,1292,90045,33571,1248,66934,15019,14127,17409,12741,20305,140153,72910
2234,20332,65146,50562,16818,66019,54598,4142,-932,-922,20332,68199,53258,20332,2997,1000,1571,87050,33208,1528,60366,14010,16060,20095,13113,22455,160580,66635
2250,37838,53445,42842,29880,55039,47764,4486,-267,-721,37838,55986,45044,37838,2450,717,3188,109624,30098,3087,85310,14451,28245,15392,9873,43455,112937,45638
2251,18567,55328,42070,14027,57306,47084,2670,78,-318,18567,59159,44514,18567,3749,780,1895,89984,34231,1817,64086,15265,13753,16546,10157,20864,133419,53038
2256,7918,50813,39860,5989,53839,45987,1075,1219,-257,7918,53108,41830,7918,2255,658,657,74912,29983,640,53474,13862,5663,14733,9388,9348,125863,46169
2257,15488,49263,38726,11389,53347,44997,2094,1263,0,15488,51617,40632,15488,2272,606,1439,84668,32379,1393,63358,15104,10952,14149,8999,18274,121804,46343
2258,3136,58412,45660,2571,57447,48662,431,-342,-1076,3136,61081,48140,3136,2648,820,257,94254,28715,255,56172,13152,2426,17177,10724,3671,129775,49581
2259,29681,50444,41686,24134,52947,46063,3566,-718,-1132,29681,52917,43793,29681,2425,869,2249,87676,34149,2206,66824,17246,22127,13830,9111,34572,91623,40655
2260,14597,63051,44634,10978,61156,49070,2438,-196,-556,14597,66349,47248,14597,3223,845,1546,139061,36264,1518,100835,16610,10932,20657,11773,16328,163012,54228
2261,30177,49120,41761,24370,51927,46124,3362,-359,-938,30177,51729,44099,30177,2563,950,2491,89375,34747,2425,66890,16177,22795,12709,8723,35008,96375,41658
2262,9682,45926,39880,8099,48880,43755,836,-1268,-1350,9682,48271,42166,9682,2315,909,631,63854,34920,617,43630,17075,7272,11235,7857,11655,68141,31957
2263,10941,45693,39152,8673,48212,42803,1216,462,-686,10941,47970,41094,10941,2219,760,854,77572,36426,838,55732,16968,7943,11742,7857,13056,86694,33812
2264,7337,49344,38885,5454,53366,45380,1001,43,-170,7337,51726,41018,7337,2351,693,544,95782,33632,532,74390,15884,5162,14298,9158,8432,118969,45557
2265,2938,50935,40714,2393,52150,45290,432,-477,-34,2938,53417,42848,2938,2438,710,266,68622,26258,257,50924,13851,2116,14593,9917,3466,103053,42932
2267,1565,50668,38407,1118,54724,44971,273,556,379,1565,53218,40263,1565,2499,630,116,59386,30258,109,34927,16568,1069,15457,10317,1820,163974,67434
2278,1456,51892,45445,1253,54651,48630,185,-1674,-798,1456,54218,48070,1456,2276,1046,115,92508,40882,113,68897,18674,1136,13610,9738,1755,99385,48481
2280,15094,56457,43336,11828,57917,47905,2236,453,-524,15094,59047,45544,15094,2524,754,1053,92493,36000,1023,63547,17390,11157,17334,10703,17330,150722,60921
2281,7424,52957,41138,5723,56521,46856,1078,-492,-836,7424,55436,43015,7424,2427,760,593,83938,33142,572,59855,16005,5353,15677,10032,8835,135906,57709
2282,8921,60264,45237,6876,61738,51565,1551,-635,-795,8921,62940,47388,8921,2616,793,673,101867,29840,658,62725,14428,6576,19337,11989,9990,168951,74081
2283,12624,53937,40851,9579,55962,46853,1967,340,-426,12624,56527,43126,12624,2494,780,883,102003,33238,861,74362,14473,9083,16573,9833,14710,149942,54177
2284,5602,50959,41901,4563,54189,47408,736,-762,-1082,5602,53301,43864,5602,2292,830,370,78321,35618,363,58955,19838,4131,14257,9485,6630,108350,45327
2285,16702,53210,45808,14399,56268,49952,1813,-2394,-1703,16702,55522,47948,16702,2296,920,1011,68263,29884,985,46335,14403,13126,14118,10175,19278,97801,50455
2286,2086,49727,43346,1774,53266,48509,261,-1875,-1980,2086,51958,45297,2086,2219,960,131,59008,29295,129,40164,13321,1583,13118,9387,2478,92582,45239
2287,19541,52981,44426,16430,56105,49180,2352,-1535,-1362,19541,55210,46439,19541,2193,853,1209,79013,29574,1169,56624,14463,14872,14672,10197,22415,104969,48128
2289,11330,57591,46526,9090,60738,52490,1775,-491,-655,11330,60069,48878,11330,2426,870,818,96937,33348,795,64889,14550,8631,17000,11943,12691,138808,63119
2290,18987,56004,44510,15297,57586,48952,2704,-605,-951,18987,58533,46756,18987,2506,818,1433,88271,31757,1388,56462,15008,14334,16529,10652,21674,134933,54446
2291,8878,78210,51960,6806,67548,52964,1903,-346,-464,8878,82120,54934,8878,3792,1000,892,187918,36044,860,115039,16736,6928,27982,13914,9775,219910,69192
2292,1451,56172,47742,1253,57403,51306,200,-1157,-1398,1451,58448,49837,1451,2258,905,119,58942,20579,115,40318,12223,1148,15185,10858,1753,95310,45300
2293,1661,58950,47724,1385,60567,52040,308,-1153,-921,1661,61770,50699,1661,2805,1002,129,85919,30255,124,63821,13417,1321,16504,11264,1967,124395,43099
2294,1143,55133,46604,978,56745,50045,167,-1110,-1132,1143,57669,49121,1143,2486,958,99,66881,20000,96,46688,11093,896,15116,10528,1422,94664,37712
2295,3431,56607,45890,2707,59944,52126,564,-1438,-800,3431,58972,48045,3431,2331,796,225,106809,31392,218,84244,13820,2571,16452,11827,3950,135314,63067
2296,1107,54209,44753,976,55035,47647,170,-444,-730,1107,56668,46850,1107,2378,893,86,70053,31409,83,45456,14460,872,14465,10137,1419,88158,38072
2297,900,52562,44405,760,55910,49473,145,208,-815,900,55137,46077,900,2558,974,93,77922,31091,88,53107,16405,695,14191,9951,1124,86724,41537
2298,4695,50251,42735,3984,52987,47946,535,-1004,-881,4695,52392,44810,4695,2105,800,306,70854,24205,300,51043,10466,3572,13225,9669,5635,85885,37515
2299,5659,51856,42507,4739,53385,46032,728,-47,-908,5659,54007,44060,5659,2130,706,421,117612,28304,404,92952,14463,4190,14682,9799,6683,102797,36723
2300,7351,77920,51267,5748,66712,53000,1499,448,-252,7351,82042,54644,7351,4059,1006,749,159577,36628,703,98620,18362,5840,26826,13667,8630,216673,44233
2302,393,56050,48363,315,58346,56379,61,606,-270,393,58536,51239,393,2435,756,33,60338,42024,32,39511,21768,294,16669,12734,451,108229,38034
2303,5216,65896,44968,4044,61075,48977,1020,1103,492,5216,68846,47388,5216,2928,752,469,125129,37927,445,80363,15723,3912,22467,12097,6120,157085,49819
2304,8005,50622,43825,6832,53071,48086,972,-1336,-950,8005,52780,45976,8005,2146,850,606,59894,28574,584,38760,14129,6180,13046,9475,9745,86618,37238
2305,7486,64681,49242,6059,63381,52519,1268,-527,-852,7486,67711,51450,7486,2931,938,590,141128,38246,573,83147,15488,5809,20359,12557,8407,165937,67492
2306,887,39853,37105,783,40997,39621,24,1815,219,887,41482,38475,887,1629,610,24,56828,28667,25,38213,14371,643,8490,6384,1325,38851,13467
2307,1840,44530,40494,1546,48326,45810,128,-542,-1650,1840,46476,42770,1840,1933,733,122,60065,27716,112,46505,15191,1370,10772,8370,2271,73036,30047
2308,136,22119,14720,122,18338,11462,3,-6928,-6883,136,22457,14946,136,338,0,1,44983,44983,1,41594,41594,44,8039,1416,175,22586,1272
2311,499,42092,33541,322,51421,41380,69,2329,827,499,45092,35099,499,2468,398,93,52276,30355,91,48409,25300,316,12478,7278,527,135295,47806
2312,753,38691,33582,513,44025,39087,99,1928,697,753,41130,35812,753,2009,386,94,85759,36160,96,67013,23010,488,10039,6181,855,86710,35922
2315,8081,50766,36072,5427,51175,41503,1287,518,-455,8081,53184,37984,8081,2311,508,720,78645,30880,697,54604,15139,5414,16136,8747,9060,181149,58150
2316,3149,48743,37436,2403,50451,40691,480,-512,-470,3149,51068,39379,3149,2195,640,314,78911,36052,303,55281,16383,2229,14033,8208,3624,117855,45532
2317,3474,49443,35400,2280,51704,41634,515,1651,131,3474,52171,37048,3474,2515,468,292,97140,30018,281,71168,15226,2269,16123,8060,3813,180468,55661
2318,6770,54040,45218,5496,57114,50811,1008,-645,-868,6770,56318,47428,6770,2194,824,485,80149,28102,476,61692,16350,5068,15409,10968,7573,119303,56251
2319,3074,46614,38557,2308,51690,45062,358,588,87,3074,48804,40262,3074,2151,642,211,60912,27221,210,41346,12690,2177,12492,8634,3718,105735,47348
2320,18472,58542,45350,15533,61210,49931,2495,-2763,-2148,18472,61328,47670,18472,2689,924,1229,94524,27764,1214,74994,16474,14151,17403,10829,21086,120009,49015
2321,8091,57517,45943,6733,60691,51406,1048,-1017,-1072,8091,60247,48325,8091,2650,999,638,73982,30775,635,57681,21228,6251,16687,11143,8998,126039,52970
2322,10097,53181,44626,8600,55511,49186,1210,-2515,-2038,10097,55501,46882,10097,2302,809,539,78251,31383,518,60391,17688,7787,14478,10048,11720,100598,47539
2323,13777,54607,44863,11432,58054,50058,1800,-2164,-1380,13777,56978,46984,13777,2313,845,876,75023,27810,857,51303,14730,10427,15592,10712,15905,116744,50476
2324,11768,48598,39848,8998,50727,45108,1505,943,-155,11768,50853,41785,11768,2184,660,849,101084,32509,840,79974,20187,8368,13737,8872,13796,119970,44802
2325,12663,51542,40309,10554,54381,44402,1420,-1529,-1169,12663,53945,42309,12663,2331,844,839,78218,29453,829,62403,20238,9303,14646,8922,15755,102964,39516
2326,3345,48823,41515,2843,52110,45733,381,-2422,-1303,3345,50967,43311,3345,2102,820,217,88177,28929,211,74144,20241,2527,12678,8688,4163,80364,38057
2327,3496,46741,40475,2966,50710,44735,315,-2071,-837,3496,48833,42183,3496,2063,806,168,67060,30766,162,50490,15638,2602,11859,8259,4405,82977,36179
2328,1306,56817,42966,1052,64459,51463,191,-2712,-2192,1306,59534,45788,1306,2489,938,113,85398,40850,115,79589,39229,963,17554,11225,1503,114634,53005
2329,1047,46225,37876,768,49643,43499,181,-47,-588,1047,49849,40700,1047,2430,550,124,94111,31709,124,80808,35416,726,13049,7690,1158,111381,40962
2330,11331,68441,48673,9566,72184,57080,1959,-4410,-2741,11331,71252,51773,11331,2631,1127,844,78943,26554,852,73920,28309,8575,23020,14772,13293,134267,55245
2333,6903,64296,48063,5922,69080,55797,1025,-4649,-3517,6903,67816,51063,6903,2811,1514,390,79378,29810,389,67150,27521,5321,19838,13539,8367,117246,46343
2334,1429,56175,45194,1255,61535,50854,155,-5323,-2912,1429,59036,47695,1429,2836,1265,86,50339,33302,88,39090,19840,1116,15540,10495,1719,86783,39698
2335,3421,64850,47668,2899,67358,54625,530,-3796,-2764,3421,67737,50177,3421,2757,1203,265,62105,26230,270,53106,22588,2655,20590,12719,3965,114693,56906
2336,1376,60934,47238,1114,67330,55096,236,-2334,-1702,1376,64131,50399,1376,2728,1334,119,108481,45672,116,99069,32866,1027,18872,12274,1614,122300,54611
2337,4607,57627,42335,3732,59180,48360,669,-2172,-1349,4607,60939,44975,4607,2698,1034,448,87164,34062,444,76287,32674,3437,17928,9817,5365,112960,42140
2338,675,42658,34320,487,50779,43117,90,1650,-26,675,45824,36143,675,2361,676,88,66801,22913,91,55837,17486,436,12691,7305,791,87586,40631
2339,418,44941,32880,261,46166,39996,79,3655,141,418,52189,37525,418,3843,328,62,127031,50228,60,125376,57644,263,16693,7874,436,129100,41399
2340,27364,49230,42092,22158,50377,45746,3710,249,-425,27364,52093,44273,27364,2535,795,2090,99414,32372,2084,77188,19938,20422,13225,8928,30904,101920,39918
2341,642,41833,35602,495,48594,39982,64,1240,-1238,642,44580,37022,642,2390,532,46,70472,42806,44,68279,38504,453,10544,6340,798,95764,35812
2342,272,39662,33958,175,49999,45516,41,8604,1891,272,45597,38786,272,2782,428,40,172142,44432,40,79516,41088,173,12331,7973,283,122430,41309
2343,2669,49264,38465,1882,48926,42548,344,120,-560,2669,53112,40854,2669,2501,541,272,129524,43682,273,117291,26855,1877,15068,8560,2851,103583,39352
2344,445,46105,39263,312,54080,48382,57,4352,795,445,50468,42126,445,2854,643,58,47074,24702,56,48429,26615,316,12613,10405,475,148077,51468
2345,449,45534,41500,340,52099,46944,57,485,732,449,48483,43756,449,2458,820,59,104459,45373,58,97272,42918,310,13169,9491,497,88365,45388
2346,1391,41180,36359,996,48414,43559,189,1933,572,1391,43985,38347,1391,2215,529,144,90734,36601,146,81869,34916,947,11060,7554,1555,77747,33827
2347,853,40763,33267,552,40432,34929,115,2229,1014,853,46638,35281,853,1906,293,140,83576,31922,141,61129,22073,542,11077,6213,906,90355,30744
2350,13853,49043,39370,10838,49513,42543,2112,1517,460,13853,51508,41329,13853,2206,566,1215,78429,27984,1175,59534,16939,9903,14046,8779,15478,132346,40700
2351,72,36029,19462,64,36876,16524,5,-7254,-1342,72,38190,20042,72,2161,222,3,44209,6202,2,36303,36302,28,17287,16590,94,68318,3857
2352,1454,46422,39760,1155,48555,45029,191,1283,-328,1454,49129,42197,1454,2154,704,159,72734,29815,156,55410,18899,1075,11975,8381,1615,83220,41920
2353,553,43573,38924,433,49280,45702,74,424,-62,553,46202,42350,553,2295,821,53,95094,42115,54,82676,34864,399,10735,8599,629,85633,45064
2354,2163,41135,33908,1344,41630,37012,306,554,1106,2163,46704,37440,2163,2866,344,264,98225,37102,257,85669,26990,1418,11626,7065,2151,139679,40851
2355,315,37538,32666,217,42445,36987,25,87,235,315,40316,34076,315,1912,430,51,62706,45444,53,45748,22740,204,9238,5975,335,87910,32266
2357,1971,46084,36298,1363,47301,41239,258,2059,1370,1971,49182,38259,1971,2109,450,201,115794,39256,196,96692,26187,1359,12855,7476,2211,98652,35422
2358,2099,41498,35507,1503,43345,40269,256,3816,1552,2099,44377,37407,2099,2136,459,256,84341,27708,249,71884,20448,1429,10871,7156,2260,107805,39376
2359,373,33514,27603,234,40522,36971,51,2332,995,373,36132,30098,373,1553,205,48,96835,27710,47,86557,30203,219,9577,5581,396,62845,26101
2360,7268,43685,38051,5479,45281,42345,908,1848,221,7268,46447,40326,7268,2172,554,692,90454,38014,678,74706,25748,5165,11156,7473,8062,97297,35810
2361,385,33253,26198,241,38209,31863,42,6908,1990,385,37597,29478,385,1684,198,53,67800,27453,56,57345,29056,210,8937,6466,409,71042,26294
2365,1945,39305,34947,1303,40767,37489,246,2080,976,1945,42824,36916,1945,2280,315,261,136695,44829,256,122658,28863,1323,9829,5841,2149,106375,33124
2369,332,37317,34770,269,38814,36845,23,1116,782,332,39207,35627,332,1572,424,39,83347,36588,40,78886,27685,223,8368,6578,430,64285,18027
2370,3708,38669,32502,2572,42977,37990,449,1456,59,3708,41955,34786,3708,2141,396,491,96094,33112,478,84339,28025,2361,10037,6543,4056,100920,32430
2371,530,32356,26856,313,38547,34570,61,-328,-848,530,36188,29766,530,2019,300,55,73385,36167,55,62226,34728,301,8440,4748,567,100887,33155
2372,2478,36408,29346,1597,43103,38095,421,1198,53,2478,39232,31768,2478,1936,384,371,85092,34362,376,75853,31151,1473,10155,6012,2605,109108,39412
